Mes_y_año,Código_departamento,Código_municipio,Precio_promedio_por_litro
2023-01-01,5,5001,2113.7700493609354
2023-01-01,5,5001,2318.1345093090194
2023-01-01,5,5001,2291.0958153630963
2023-01-01,5,5001,2378.9003116017293
2023-01-01,5,5001,2246.631068108865
2023-01-01,5,5001,2095.0053977589996
2023-01-01,5,5001,2235.554749610393
2023-01-01,5,5001,2284.8275862068963
2023-01-01,5,5001,2165.636464702612
2023-01-01,5,5001,2149.0483356521577
2023-01-01,5,5001,2048.498906371269
2023-01-01,5,5001,1999.1143596377747
2023-01-01,5,5001,2081.1674136786187
2023-01-01,5,5001,2086.768201150863
2023-01-01,5,5001,2193.830295932145
2023-01-01,5,5001,2228.2838733659623
2023-01-01,5,5001,2153.0020280057943
2023-01-01,5,5001,2145.947488240661
2023-01-01,5,5001,2203.870051778854
2023-01-01,5,5001,2288.179369355095
2023-01-01,5,5001,2258.5550006727185
2023-01-01,5,5001,2333.835555250137
2023-01-01,5,5001,2094.7991493616696
2023-01-01,5,5001,2260.1744108045255
2023-01-01,81,81001,1796.8980343980343
2023-01-01,81,81001,1859.7193569732594
2023-01-01,81,81001,1827.788128137453
2023-01-01,81,81001,1834.254612546126
2023-01-01,81,81001,1823.0766059206733
2023-01-01,8,8001,1973.4165510864543
2023-01-01,8,8001,2108.9081928121277
2023-01-01,8,8001,2188.017973040439
2023-01-01,8,8001,1975.623003194888
2023-01-01,8,8001,2059.1873449131513
2023-01-01,13,13001,2096.3096035564217
2023-01-01,13,13001,1972.1280320080016
2023-01-01,13,13001,2047.3152722731963
2023-01-01,13,13001,2048.6691060410394
2023-01-01,13,13001,2094.0315838365073
2023-01-01,13,13001,2029.4009216589861
2023-01-01,13,13001,1938.7600072780208
2023-01-01,13,13001,1997.924682289845
2023-01-01,13,13001,2062.0196148292607
2023-01-01,15,15001,1821.0018936133588
2023-01-01,15,15001,2137.377423033067
2023-01-01,15,15001,2046.0551845080413
2023-01-01,15,15001,1976.192481203008
2023-01-01,15,15001,1676.3103714175563
2023-01-01,15,15001,1983.4282630853165
2023-01-01,15,15001,1888.5733353106928
2023-01-01,15,15001,2135.0770995284824
2023-01-01,15,15001,2240.4675738274464
2023-01-01,15,15001,1978.9449329014346
2023-01-01,15,15001,2171.942841118874
2023-01-01,15,15001,1959.3130690948044
2023-01-01,15,15001,2094.174225836722
2023-01-01,15,15001,1902.803553800592
2023-01-01,15,15001,2036.5129151291512
2023-01-01,17,17001,2238.283220414421
2023-01-01,17,17001,1800.0000000000007
2023-01-01,17,17001,2297.8257135568715
2023-01-01,18,18001,2131.4809061123037
2023-01-01,18,18001,2133.3270249810753
2023-01-01,18,18001,1803.9865556693223
2023-01-01,18,18001,1961.806347396427
2023-01-01,18,18001,2165.0858157427497
2023-01-01,85,85001,1148.5355648535567
2023-01-01,85,85001,1758.8256614715478
2023-01-01,85,85001,1710.6964178507103
2023-01-01,85,85001,1283.7227138643066
2023-01-01,85,85001,1339.3167028199564
2023-01-01,19,19001,1424.3802183686578
2023-01-01,19,19001,1745.052598548332
2023-01-01,19,19001,1545.762749201454
2023-01-01,19,19001,1600.667987545995
2023-01-01,20,20001,1989.9720741304893
2023-01-01,20,20001,1975.3114920246778
2023-01-01,20,20001,1843.7563451776648
2023-01-01,20,20001,1840.191997281454
2023-01-01,20,20001,1864.3428738317764
2023-01-01,20,20001,1980.8771035186126
2023-01-01,20,20001,1840.9414421047463
2023-01-01,20,20001,2319.6778544790927
2023-01-01,20,20001,2062.9094947251524
2023-01-01,20,20001,2076.72852058973
2023-01-01,20,20001,1949.2275009656232
2023-01-01,20,20001,2431.5868540974743
2023-01-01,23,23001,1767.5847716978828
2023-01-01,23,23001,1978.4805244890085
2023-01-01,23,23001,2101.5060404674264
2023-01-01,23,23001,1938.7159744062465
2023-01-01,23,23001,1935.7176285130176
2023-01-01,23,23001,1855.3331032102174
2023-01-01,23,23001,1725.0178088046735
2023-01-01,23,23001,2038.0756756756755
2023-01-01,23,23001,2085.6499951347673
2023-01-01,23,23001,2061.884753901561
2023-01-01,23,23001,2121.580198019802
2023-01-01,23,23001,2095.712817501101
2023-01-01,25,25001,2038.8002192250872
2023-01-01,25,25001,2141.0962962340427
2023-01-01,25,25001,2164.898050767864
2023-01-01,25,25001,1976.2047856504912
2023-01-01,25,25001,2326.062350212229
2023-01-01,25,25001,1904.3650717362666
2023-01-01,25,25001,2162.4575223142265
2023-01-01,25,25001,2195.1993717957434
2023-01-01,25,25001,2154.7107017986523
2023-01-01,25,25001,1903.1079773965278
2023-01-01,25,25001,2010.2600762527236
2023-01-01,25,25001,2055.931713766687
2023-01-01,25,25001,2068.9531065836004
2023-01-01,25,25001,2116.8691843891115
2023-01-01,25,25001,2086.6998862314645
2023-01-01,25,25001,2250.7852473478247
2023-01-01,25,25001,1973.7114221108595
2023-01-01,25,25001,2244.396167745189
2023-01-01,25,25001,2033.705357142858
2023-01-01,25,25001,2053.3957156752604
2023-01-01,25,25001,2062.6135125317837
2023-01-01,25,25001,2064.278490748786
2023-01-01,25,25001,2208.142842689742
2023-01-01,25,25001,2254.723941855996
2023-01-01,25,25001,2220.801155993729
2023-01-01,25,25001,2157.8653686335037
2023-01-01,25,25001,2184.7191866278504
2023-01-01,41,41001,1705.929832817893
2023-01-01,41,41001,1847.6872329260061
2023-01-01,41,41001,1718.5123679154653
2023-01-01,41,41001,1930.405861871849
2023-01-01,41,41001,1808.9494581128977
2023-01-01,44,44001,2145.5805892547655
2023-01-01,47,47001,1735.50240233967
2023-01-01,47,47001,1857.8432792584003
2023-01-01,47,47001,1923.7496351075215
2023-01-01,47,47001,1821.756400676446
2023-01-01,47,47001,2056.252842201001
2023-01-01,47,47001,1947.4612891609643
2023-01-01,47,47001,2051.65843330981
2023-01-01,47,47001,1866.3488385908638
2023-01-01,50,50001,1681.3624678663246
2023-01-01,50,50001,1696.921364985163
2023-01-01,50,50001,1121.3045365747773
2023-01-01,50,50001,1710.5918057663123
2023-01-01,50,50001,1896.3994374120964
2023-01-01,50,50001,1308.2773068303616
2023-01-01,50,50001,1816.764282912799
2023-01-01,50,50001,1381.1545048524129
2023-01-01,52,52001,1795.1669470276443
2023-01-01,52,52001,1555.6215631902992
2023-01-01,52,52001,1774.3518941992527
2023-01-01,52,52001,1861.2603135991585
2023-01-01,52,52001,1646.0284286363342
2023-01-01,52,52001,1919.3244901536848
2023-01-01,52,52001,1778.7354664063198
2023-01-01,52,52001,1716.503929507026
2023-01-01,52,52001,1755.1096140671389
2023-01-01,52,52001,1934.540148055429
2023-01-01,52,52001,1759.7658578118346
2023-01-01,52,52001,1789.0499216597332
2023-01-01,52,52001,1754.8636865552296
2023-01-01,54,54001,1619.3428486470414
2023-01-01,54,54001,1508.040935672514
2023-01-01,54,54001,1999.7196635963153
2023-01-01,54,54001,1732.1676000829707
2023-01-01,54,54001,1600.0
2023-01-01,86,86001,1785.6246969913018
2023-01-01,86,86001,1843.5689122540787
2023-01-01,86,86001,1761.1273065094822
2023-01-01,86,86001,1795.80975110808
2023-01-01,63,63001,2147.754404063737
2023-01-01,63,63001,2098.379494674955
2023-01-01,63,63001,1933.2902688201177
2023-01-01,63,63001,2069.0550110683484
2023-01-01,66,66001,1992.9919787708823
2023-01-01,66,66001,2216.2782668738128
2023-01-01,66,66001,2239.910727738436
2023-01-01,68,68001,1804.4507434482073
2023-01-01,68,68001,2009.0064059490207
2023-01-01,68,68001,1944.4102380526224
2023-01-01,68,68001,1745.535878142778
2023-01-01,68,68001,1428.607149145977
2023-01-01,68,68001,1869.0756443155194
2023-01-01,68,68001,2064.499056971905
2023-01-01,68,68001,1509.9891447702146
2023-01-01,68,68001,2174.7177086202146
2023-01-01,68,68001,2078.9151143741283
2023-01-01,68,68001,1699.7943897782347
2023-01-01,68,68001,1871.3373284970824
