Mes_y_año,Código_departamento,Código_municipio,Precio_promedio_por_litro
2025-01-01,5,5002,1991.6666666666663
2025-01-01,5,5038,1942.522518911878
2025-01-01,5,5079,2116.951593936243
2025-01-01,5,5088,2207.670846016066
2025-01-01,5,5086,2028.149768736854
2025-01-01,5,5150,1758.1265306122448
2025-01-01,5,5237,2072.1544268802722
2025-01-01,5,5148,1812.7036409912357
2025-01-01,5,5697,1813.9671074760563
2025-01-01,5,5264,1932.9233940577856
2025-01-01,5,5266,1878.5251978045478
2025-01-01,5,5310,1862.5528733176675
2025-01-01,5,5318,1754.2539801509356
2025-01-01,5,5376,1990.6019985376552
2025-01-01,5,5400,2002.357551596019
2025-01-01,5,5440,1979.2244930130953
2025-01-01,5,5001,2007.1964059878158
2025-01-01,5,5615,1991.8869550939992
2025-01-01,5,5656,2066.3187942952136
2025-01-01,5,5658,1966.4380276608542
2025-01-01,5,5664,2112.515630445654
2025-01-01,5,5686,1966.9477895114999
2025-01-01,5,5756,2050.6281243208
2025-01-01,5,5887,1979.5821474135323
2025-01-01,81,81001,1525.3683500168709
2025-01-01,81,81065,1544.999548015789
2025-01-01,81,81300,1564.544081555598
2025-01-01,81,81736,1547.0389382746964
2025-01-01,81,81794,1544.9118746165432
2025-01-01,8,8141,1901.5454864769933
2025-01-01,8,8372,1841.5341207712097
2025-01-01,8,8436,1848.267574604446
2025-01-01,8,8560,1812.9368891833685
2025-01-01,8,8638,1804.4317884262894
2025-01-01,13,13052,2010.9408033826642
2025-01-01,13,13140,1895.181907571288
2025-01-01,13,13244,1843.948412698413
2025-01-01,13,13248,1858.3974099554837
2025-01-01,13,13430,1501.5358361774745
2025-01-01,13,13433,1920.6671581275339
2025-01-01,13,13442,1876.3067202757034
2025-01-01,13,13647,1908.116270290676
2025-01-01,13,13657,1945.2255054432353
2025-01-01,15,15087,1653.113041679595
2025-01-01,15,15176,1763.2536331231147
2025-01-01,15,15238,1681.9296757779368
2025-01-01,15,15272,1833.2708892973276
2025-01-01,15,15469,1751.2940266539742
2025-01-01,15,15516,1790.4205296317166
2025-01-01,15,15600,1689.193530519552
2025-01-01,15,15632,1735.4211526282459
2025-01-01,15,15676,1794.6578274693989
2025-01-01,15,15759,1780.827763025364
2025-01-01,15,15763,1821.6713111449953
2025-01-01,15,15806,1750.0800934261101
2025-01-01,15,15814,1840.1765463917523
2025-01-01,15,15001,1668.0357116635582
2025-01-01,15,15861,1670.0094390507008
2025-01-01,17,17001,2002.200197015065
2025-01-01,17,17653,1785.7687194562511
2025-01-01,17,17873,1966.1467747602876
2025-01-01,18,18247,1709.967403683777
2025-01-01,18,18256,1735.3305785123964
2025-01-01,18,18001,1705.2670589820766
2025-01-01,18,18410,1719.0943807965084
2025-01-01,18,18592,1709.0909090909095
2025-01-01,85,85010,1255.3594455190198
2025-01-01,85,85162,1856.1140018921478
2025-01-01,85,85410,1580.3206590031177
2025-01-01,85,85440,1603.60462941314
2025-01-01,85,85001,1688.8485947416134
2025-01-01,19,19532,1902.8588098016342
2025-01-01,19,19001,2011.12082749057
2025-01-01,19,19743,1830.3789013013934
2025-01-01,19,19807,1940.9159254553153
2025-01-01,20,20011,1711.6449315945274
2025-01-01,20,20013,1964.3472944768075
2025-01-01,20,20060,1999.8522334549914
2025-01-01,20,20175,1793.357366138953
2025-01-01,20,20178,2084.30987370682
2025-01-01,20,20238,2161.7700982427014
2025-01-01,20,20383,1620.4277243917404
2025-01-01,20,20621,1893.8925396211826
2025-01-01,20,20710,1675.2375933245496
2025-01-01,20,20750,1683.8107558676763
2025-01-01,20,20770,1628.6536180308426
