Código_departamento,Código_municipio,Precio_promedio_por_litro,año,mes,dia
5,5002,1991.6666666666663,2025,1,1
5,5038,1942.522518911878,2025,1,1
5,5079,2116.951593936243,2025,1,1
5,5088,2207.670846016066,2025,1,1
5,5086,2028.149768736854,2025,1,1
5,5150,1758.1265306122448,2025,1,1
5,5237,2072.154426880272,2025,1,1
5,5148,1812.703640991236,2025,1,1
5,5697,1813.9671074760563,2025,1,1
5,5264,1932.9233940577856,2025,1,1
5,5266,1878.525197804548,2025,1,1
5,5310,1862.5528733176675,2025,1,1
5,5318,1754.2539801509356,2025,1,1
5,5376,1990.6019985376552,2025,1,1
5,5400,2002.357551596019,2025,1,1
5,5440,1979.2244930130955,2025,1,1
5,5001,2007.196405987816,2025,1,1
5,5615,1991.8869550939992,2025,1,1
5,5656,2066.3187942952136,2025,1,1
5,5658,1966.4380276608545,2025,1,1
5,5664,2112.515630445654,2025,1,1
5,5686,1966.9477895115,2025,1,1
5,5756,2050.6281243208,2025,1,1
5,5887,1979.5821474135323,2025,1,1
81,81001,1525.3683500168709,2025,1,1
81,81065,1544.999548015789,2025,1,1
81,81300,1564.544081555598,2025,1,1
81,81736,1547.0389382746964,2025,1,1
81,81794,1544.9118746165432,2025,1,1
8,8141,1901.5454864769931,2025,1,1
8,8372,1841.5341207712097,2025,1,1
8,8436,1848.267574604446,2025,1,1
8,8560,1812.9368891833683,2025,1,1
8,8638,1804.4317884262891,2025,1,1
13,13052,2010.940803382664,2025,1,1
13,13140,1895.181907571288,2025,1,1
13,13244,1843.948412698413,2025,1,1
13,13248,1858.397409955484,2025,1,1
13,13430,1501.5358361774745,2025,1,1
13,13433,1920.6671581275336,2025,1,1
13,13442,1876.3067202757036,2025,1,1
13,13647,1908.116270290676,2025,1,1
13,13657,1945.2255054432355,2025,1,1
15,15087,1653.113041679595,2025,1,1
15,15176,1763.2536331231147,2025,1,1
15,15238,1681.9296757779368,2025,1,1
15,15272,1833.270889297328,2025,1,1
15,15469,1751.2940266539742,2025,1,1
15,15516,1790.4205296317166,2025,1,1
15,15600,1689.193530519552,2025,1,1
15,15632,1735.421152628246,2025,1,1
15,15676,1794.6578274693989,2025,1,1
15,15759,1780.827763025364,2025,1,1
15,15763,1821.6713111449956,2025,1,1
15,15806,1750.08009342611,2025,1,1
15,15814,1840.1765463917525,2025,1,1
15,15001,1668.0357116635582,2025,1,1
15,15861,1670.0094390507008,2025,1,1
17,17001,2002.200197015065,2025,1,1
17,17653,1785.7687194562511,2025,1,1
17,17873,1966.146774760288,2025,1,1
18,18247,1709.967403683777,2025,1,1
18,18256,1735.3305785123964,2025,1,1
18,18001,1705.2670589820766,2025,1,1
18,18410,1719.0943807965084,2025,1,1
18,18592,1709.0909090909097,2025,1,1
85,85010,1255.3594455190198,2025,1,1
85,85162,1856.114001892148,2025,1,1
85,85410,1580.3206590031175,2025,1,1
85,85440,1603.60462941314,2025,1,1
85,85001,1688.8485947416134,2025,1,1
19,19532,1902.8588098016344,2025,1,1
19,19001,2011.12082749057,2025,1,1
19,19743,1830.3789013013932,2025,1,1
19,19807,1940.9159254553156,2025,1,1
20,20011,1711.6449315945274,2025,1,1
20,20013,1964.3472944768075,2025,1,1
20,20060,1999.8522334549916,2025,1,1
20,20175,1793.357366138953,2025,1,1
20,20178,2084.30987370682,2025,1,1
20,20238,2161.7700982427014,2025,1,1
20,20383,1620.4277243917404,2025,1,1
20,20621,1893.8925396211823,2025,1,1
20,20710,1675.2375933245496,2025,1,1
20,20750,1683.8107558676763,2025,1,1
20,20770,1628.6536180308426,2025,1,1
20,20001,2308.8759389631828,2025,1,1
23,23068,1611.349194620955,2025,1,1
23,23079,1673.816353368918,2025,1,1
23,23162,2111.4538448064463,2025,1,1
23,23182,1651.4891774891776,2025,1,1
23,23189,1797.83058479888,2025,1,1
23,23417,1726.490691316235,2025,1,1
23,23466,1672.4503800675673,2025,1,1
23,23001,2067.985423237575,2025,1,1
23,23555,2029.09757669727,2025,1,1
23,23570,1660.7161915080926,2025,1,1
23,23660,1848.2488238369056,2025,1,1
23,23686,1728.9310411684862,2025,1,1
25,25126,1939.4247761718063,2025,1,1
25,25200,1918.2698251020747,2025,1,1
25,25214,2058.846067035324,2025,1,1
25,25260,2052.194045776907,2025,1,1
25,25269,1966.536286709148,2025,1,1
25,25286,2036.2484953061005,2025,1,1
25,25288,1900.724707969017,2025,1,1
25,25295,1959.542732601113,2025,1,1
25,25317,1950.3710065401672,2025,1,1
25,25322,1898.074693716243,2025,1,1
25,25377,1970.766762594688,2025,1,1
25,25407,2018.6942002302487,2025,1,1
25,25430,1902.4056914393225,2025,1,1
25,25473,2040.8121301477065,2025,1,1
25,25486,1943.1142898739135,2025,1,1
25,25736,2071.3722161280543,2025,1,1
25,25740,1880.2695060815583,2025,1,1
25,25745,1713.7069188430423,2025,1,1
25,25758,2107.8556617748795,2025,1,1
25,25769,2078.1330358872287,2025,1,1
25,25779,1675.6002846396254,2025,1,1
25,25785,1898.5404678691325,2025,1,1
25,25799,1904.242409806153,2025,1,1
25,25817,2063.1645147624054,2025,1,1
25,25843,2004.4336881123531,2025,1,1
25,25873,1695.2155978704018,2025,1,1
25,25899,2133.137482786992,2025,1,1
41,41016,1951.777888902779,2025,1,1
41,41396,1901.864312347319,2025,1,1
41,41001,1921.056965385432,2025,1,1
41,41524,1845.938288920056,2025,1,1
41,41551,2078.2601771126524,2025,1,1
44,44650,1881.6243437265612,2025,1,1
47,47058,2161.6870773167616,2025,1,1
47,47170,1840.8205172081884,2025,1,1
