Mes_y_año,Código_departamento,Código_municipio,Precio_promedio_por_litro
2024-01-01,52,52560,1634.4838756118631
2024-01-01,52,52573,1660.9162072767367
2024-01-01,52,52585,1879.7618350765356
2024-01-01,52,52720,1658.0681818181818
2024-01-01,52,52788,1702.975944617353
2024-01-01,52,52838,1685.2680218023856
2024-01-01,54,54001,2091.018208699712
2024-01-01,54,54172,2201.527659574468
2024-01-01,54,54174,1683.346042397438
2024-01-01,54,54385,1812.7095229323995
2024-01-01,54,54820,1796.9798413507021
2024-01-01,63,63190,2313.3394319959116
2024-01-01,63,63272,2061.9196191665364
2024-01-01,63,63594,2028.517088737904
2024-01-01,63,63690,2117.7943530781545
2024-01-01,66,66001,2358.49738364087
2024-01-01,66,66170,2163.273536364901
2024-01-01,66,66682,2130.850138629759
2024-01-01,68,68081,1879.03668579985
2024-01-01,68,68167,1956.219544082341
2024-01-01,68,68190,2073.9389836245923
2024-01-01,68,68235,1808.9617031398666
2024-01-01,68,68298,1497.533087103724
2024-01-01,68,68406,1984.860207490769
2024-01-01,68,68547,2293.7106477015627
2024-01-01,68,68572,1785.5919468451816
2024-01-01,68,68615,1983.8116723064702
2024-01-01,68,68655,1895.7753693518819
2024-01-01,68,68689,1793.5677681569184
2024-01-01,68,68745,2030.4282152105113
2024-01-01,68,68755,2083.367285885235
2024-01-01,68,68770,1781.5465591285215
2024-01-01,68,68861,1913.4187206791266
2024-01-01,70,70001,2088.138082872304
2024-01-01,70,70235,2000.0
2024-01-01,70,70508,1972.540830320409
2024-01-01,70,70708,2023.4688878000975
2024-01-01,70,70713,2185.0053552302747
2024-01-01,70,70717,2000.0000000000002
2024-01-01,70,70742,2050.306773899345
2024-01-01,70,70823,2200.7148883264517
2024-01-01,73,73001,2164.2421142775593
2024-01-01,73,73124,1767.2815533980583
2024-01-01,76,76111,2092.465829950467
2024-01-01,76,76113,2257.1921073985427
2024-01-01,76,76364,2466.625908328676
2024-01-01,76,76520,2373.266716498157
2024-01-01,76,76834,1877.749611383475
2024-01-01,76,76895,2466.8541075903267
2024-01-01,81,81001,1582.9792883696225
2024-01-01,81,81065,1498.865663449664
2024-01-01,81,81300,1543.7990762124712
2024-01-01,81,81736,1535.371146913853
2024-01-01,81,81794,1573.1453362255968
2024-01-01,85,85001,1662.1621621621618
2024-01-01,85,85010,1239.9191919191921
2024-01-01,85,85162,1861.305361305361
2024-01-01,85,85410,1774.3320933378423
2024-01-01,85,85440,1563.4006591674427
2024-01-01,86,86219,1618.6341306509153
2024-01-01,86,86749,1665.8300986034892
2024-01-01,86,86755,1660.135958996493
2024-01-01,86,86760,1627.949610943775
2024-02-01,5,5002,2084.3442985531956
2024-02-01,5,5038,2007.819627753799
2024-02-01,5,5079,2248.389789171319
2024-02-01,5,5088,2408.020287574698
2024-02-01,5,5086,2165.167365456821
2024-02-01,5,5150,1918.2487334856464
2024-02-01,5,5237,2185.195182336698
2024-02-01,5,5148,1957.714065226144
2024-02-01,5,5697,2126.0332201231163
2024-02-01,5,5264,2026.7294419673015
2024-02-01,5,5266,1955.0963130828902
2024-02-01,5,5310,2066.1156143344706
2024-02-01,5,5318,1855.4127712118539
2024-02-01,5,5376,2043.6136078595314
2024-02-01,5,5400,2148.2202915669395
2024-02-01,5,5440,2151.2305986696224
2024-02-01,5,5001,2066.5463046757163
2024-02-01,5,5615,2161.526479231594
2024-02-01,5,5656,2181.343686187511
2024-02-01,5,5658,2059.8353054399677
2024-02-01,5,5664,2218.0010130049463
2024-02-01,5,5686,2044.2418525154617
2024-02-01,5,5756,2144.410498910791
2024-02-01,5,5887,2059.6412392587667
2024-02-01,81,81001,1436.6789530356996
2024-02-01,81,81065,1494.2483613051932
2024-02-01,81,81300,1480.4013065795616
2024-02-01,81,81736,1470.646868568068
2024-02-01,81,81794,1461.8153590063705
2024-02-01,8,8141,2242.4508878785286
2024-02-01,8,8372,2217.2868217054256
2024-02-01,8,8436,2277.3680649526386
2024-02-01,8,8560,2225.9381249264793
2024-02-01,8,8638,2243.696102766191
2024-02-01,13,13052,2199.999999999999
2024-02-01,13,13140,2213.193125492194
2024-02-01,13,13244,2186.3160002670047
2024-02-01,13,13248,2156.0743137643353
2024-02-01,13,13430,2172.3776756081966
2024-02-01,13,13433,2269.1373898574293
2024-02-01,13,13442,2188.120731810134
2024-02-01,13,13647,2194.8798376308873
2024-02-01,13,13657,2227.906704172528
2024-02-01,15,15087,1976.2536358347875
2024-02-01,15,15176,1950.1373905963767
2024-02-01,15,15238,1956.0589693080005
2024-02-01,15,15272,2039.0690252575912
2024-02-01,15,15469,1718.8871430146655
2024-02-01,15,15516,2059.175643243846
2024-02-01,15,15600,1827.909255351221
2024-02-01,15,15632,1922.9567307692312
2024-02-01,15,15676,1988.731498083887
